region,class,period,fromYear,toYear,width,gain,loss,net
Southeast,Snow/Ice,1986-1992,1986,1992,6,0,0,0
Southeast,Snow/Ice,1992-2000,1992,2000,8,0,0,0
Southeast,Snow/Ice,2001-2006,2001,2006,5,0,0,0
Southeast,Snow/Ice,2006-2011,2006,2011,5,0,0,0
Southeast,Water,1973-1980,1973,1980,7,385.7142857142857,94.57142857142857,291.14285714285717
Southeast,Water,1980-1986,1980,1986,6,377.8333333333333,84.66666666666667,293.16666666666663
Southeast,Water,1986-1992,1986,1992,6,289.5,145.66666666666666,143.83333333333334
Southeast,Water,1992-2000,1992,2000,8,304.25,118,186.25
Southeast,Water,2001-2006,2001,2006,5,190.4,155.2,35.20000000000002
Southeast,Water,2006-2011,2006,2011,5,199.20000000000002,147.6,51.60000000000002
Southeast,Wetland,1973-1980,1973,1980,7,269.57142857142856,694.7142857142857,-425.1428571428571
Southeast,Wetland,1980-1986,1980,1986,6,220.66666666666669,661.6666666666666,-440.99999999999994
Southeast,Wetland,1986-1992,1986,1992,6,378.6666666666667,385.8333333333333,-7.166666666666629
